steps,episodes,elapsed,mean,median,stdev,max,min,average_q,average_loss,cumulative_steps,n_updates,rlen
3001,1,79.95450258255005,-1.3999999910593033,-1.3999999910593033,0.0,-1.3999999910593033,-1.3999999910593033,nan,nan,3001,0,3001
6002,2,158.9278588294983,-1.2999999821186066,-1.2999999821186066,0.0,-1.2999999821186066,-1.2999999821186066,nan,nan,6002,0,6002
9003,3,238.801575422287,-0.9999999850988388,-0.9999999850988388,0.0,-0.9999999850988388,-0.9999999850988388,nan,nan,9003,0,9003
12004,4,322.62345814704895,2.0,2.0,0.0,2.0,2.0,nan,nan,12004,0,12004
15005,5,404.0431888103485,0.8000000268220901,0.8000000268220901,0.0,0.8000000268220901,0.8000000268220901,nan,nan,15005,0,15005
18006,6,486.69222712516785,-1.3999999910593033,-1.3999999910593033,0.0,-1.3999999910593033,-1.3999999910593033,nan,nan,18006,0,18006
21007,7,571.8065152168274,2.0,2.0,0.0,2.0,2.0,nan,3.9173558926582337,21007,251,21007
24008,8,668.5210793018341,-0.5999999940395355,-0.5999999940395355,0.0,-0.5999999940395355,-0.5999999940395355,nan,3.9107786989212037,24008,1002,24008
27009,9,767.5193800926208,-1.4999999925494194,-1.4999999925494194,0.0,-1.4999999925494194,-1.4999999925494194,nan,3.908911871910095,27009,1752,27009
30010,10,868.8139429092407,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.9079381704330443,30010,2502,30010
33011,11,969.4098358154297,-0.3999999910593033,-0.3999999910593033,0.0,-0.3999999910593033,-0.3999999910593033,nan,3.8875311112403867,33011,3252,33011
36012,12,1065.6923441886902,0.8000000193715096,0.8000000193715096,0.0,0.8000000193715096,0.8000000193715096,nan,3.886747853755951,36012,4003,36012
39013,13,1163.5412607192993,-3.5999999940395355,-3.5999999940395355,0.0,-3.5999999940395355,-3.5999999940395355,nan,3.886754593849182,39013,4753,39013
