#{"t_start": 1607447852.2799942, "env_id": null}
r,l,t
-1.0,3001,550.536893
-1.0,3001,1087.273242
-1.0,3001,1634.884724
-2.0,3001,2184.003852
0.0,3001,2726.134589
-1.0,3001,3269.561325
0.0,3001,3827.93342
0.0,3001,4382.054522
-1.0,3001,4939.339439
-1.0,3001,5480.570093
-2.0,3001,6004.428747
-1.0,3001,6526.47183
0.0,3001,7049.340613
-2.0,3001,7577.391259
-4.0,3001,8116.449157
0.0,3001,8648.577284
-1.0,3001,9170.329215
0.0,3001,9695.30272
0.0,3001,10217.830151
0.0,3001,10741.410501
1.0,3001,11268.116101
-2.0,3001,11793.044161
0.0,3001,12316.314791
-1.0,3001,12840.421845
-1.0,3001,13366.801556
-3.0,3001,13893.473121
-5.0,3001,14420.994694
-1.0,3001,14952.209795
1.0,3001,15477.134538
0.0,3001,16004.952489
0.0,3001,16536.368913
-2.0,3001,17060.438592
-1.0,3001,17585.529094
0.0,3001,18108.254603
-2.0,3001,18635.060791
0.0,3001,19159.390555
-2.0,3001,19682.799594
-2.0,3001,20214.850026
0.0,3001,20740.070381
0.0,3001,21268.323107
0.0,3001,21801.185123
-1.0,3001,22341.786127
2.0,3001,22893.433959
-1.0,3001,23448.196028
0.0,3001,23998.229807
,2537.339569
-0.9,3001,2587.178377
-0.1,3001,2637.08647
-0.6,3001,2687.329837
-1.7,3001,2776.184697
-3.0,3001,2827.083753
-0.4,3001,2878.263442
-2.7,3001,2928.150218
-1.7,3001,2978.249492
-0.6,3001,3028.618363
-2.5,3001,3078.418037
-0.5,3001,3127.921196
0.8,3001,3179.091074
0.6,3001,3229.823392
-1.1,3001,3320.283184
-3.4,3001,3371.761696
-2.6,3001,3424.040977
-0.1,3001,3478.329621
-1.5,3001,3529.131451
-0.6,3001,3580.228759
-2.5,3001,3632.231752
-0.5,3001,3683.809206
-4.5,3001,3735.727556
-1.3,3001,3787.183235
-1.9,3001,3879.71144
-1.4,3001,3931.323578
-1.0,3001,3980.637005
-0.7,3001,4032.976549
-0.5,3001,4087.105122
-3.6,3001,4140.805937
-1.8,3001,4191.256738
-4.6,3001,4242.049866
-1.7,3001,4292.69657
-1.4,3001,4342.333994
-1.3,3001,4434.218144
-0.4,3001,4486.396011
0.3,3001,4538.393626
-1.3,3001,4590.355663
-1.6,3001,4641.769436
0.5,3001,4693.13474
0.6,3001,4744.053578
-1.2,3001,4795.664065
-1.4,3001,4847.978197
-2.3,3001,4899.069274
-0.1,3001,4991.68019
-2.3,3001,5044.090486
-0.6,3001,5096.185375
-2.8,3001,5145.80288
-0.5,3001,5196.560613
0.0,3001,5246.269965
0.4,3001,5296.781881
0.0,3001,5345.547745
-1.7,3001,5394.338878
-1.6,3001,5442.556733
-2.8,3001,5527.898009
-0.7,3001,5576.517126
-0.4,3001,5624.798598
-2.4,3001,5673.911424
-1.8,3001,5721.444947
-0.7,3001,5769.996528
-1.3,3001,5818.102225
-1.3,3001,5867.279529
0.0,3001,5913.361939
0.0,3001,5961.672541
-0.8,3001,6054.631468
-2.7,3001,6103.173545
-1.6,3001,6150.826348
-0.2,3001,6198.964653
0.8,3001,6246.747028
-2.3,3001,6294.473325
0.1,3001,6342.715805
-0.8,3001,6391.221519
-4.4,3001,6438.87313
-2.4,3001,6487.653407
-1.5,3001,6577.910197
-1.8,3001,6626.175562
-1.4,3001,6673.738784
-1.6,3001,6722.069989
-3.3,3001,6771.354834
-2.5,3001,6819.511801
-0.4,3001,6867.743627
-2.6,3001,6915.912747
-2.5,3001,6965.182585
-0.1,3001,7012.368813
-2.5,3001,7099.064314
-1.5,3001,7148.215944
0.5,3001,7197.143095
-2.5,3001,7245.759296
-1.8,3001,7294.373068
0.3,3001,7342.436981
0.0,3001,7391.471051
-2.7,3001,7438.981404
-1.5,3001,7489.087541
-1.2,3001,7539.088747
-2.6,3001,7628.272982
-1.7,3001,7677.641787
-1.6,3001,7726.907105
-0.5,3001,7775.551404
-1.7,3001,7822.101162
-2.4,3001,7871.931267
0.4,3001,7922.384425
0.7,3001,7973.470419
-1.8,3001,8024.971886
-0.5,3001,8076.749077
-0.8,3001,8168.758775
-0.5,3001,8217.995391
-1.5,3001,8268.077732
0.4,3001,8317.75814
-0.7,3001,8366.570336
-0.3,3001,8415.846176
0.0,3001,8465.430384
0.2,3001,8514.069736
0.3,3001,8561.434122
0.8,3001,8609.443737
-1.8,3001,8697.180151
0.8,3001,8745.989894
-0.5,3001,8794.516197
-2.6,3001,8842.719737
-0.8,3001,8891.594697
-1.1,3001,8938.532571
-1.7,3001,8986.526427
-3.4,3001,9035.493847
-0.5,3001,9082.464608
-1.5,3001,9132.106565
-2.5,3001,9220.302111
-1.5,3001,9268.592949
-0.4,3001,9316.681376
-0.2,3001,9364.162448
-0.2,3001,9412.665472
-3.3,3001,9461.914834
-1.7,3001,9510.54296
-2.5,3001,9558.739655
-0.7,3001,9608.398778
0.6,3001,9657.180225
-2.5,3001,9742.65716
0.6,3001,9791.004148
0.7,3001,9839.982487
-1.6,3001,9888.461248
-1.3,3001,9938.240577
0.4,3001,9985.150347
0.8,3001,10034.720327
-3.2,3001,10082.372074
-1.3,3001,10131.434805
-1.5,3001,10180.113664
0.2,3001,10267.153903
-2.6,3001,10315.581636
-1.4,3001,10364.602352
0.5,3001,10413.307014
-0.3,3001,10459.763773
0.3,3001,10508.355456
-4.7,3001,10557.331294
-2.2,3001,10606.342984
-0.8,3001,10654.875552
-1.7,3001,10702.843743
-1.4,3001,10790.761876
0.8,3001,10839.485613
0.6,3001,10888.193054
-0.4,3001,10938.177163
0.6,3001,10986.559502
-2.8,3001,11035.566906
-1.7,3001,11084.470185
-0.5,3001,11132.844888
-3.7,3001,11181.749442
-0.3,3001,11229.357093
-1.6,3001,11318.107022
-2.5,3001,11365.676399
-1.6,3001,11415.663278
-1.8,3001,11464.926
-2.5,3001,11513.467985
-0.5,3001,11561.821224
-1.8,3001,11608.733293
0.2,3001,11656.485271
-2.7,3001,11705.406759
